Coding Scheme Designator;Code Value;Code Meaning;Body Part Examined;SNOMED-RT ID (Retired);FMA Code Value;UMLS Concept UniqueID
RACOON;1.3.6.1.4.1.41130.1.644.9.61;Pleural thickening;Pleuraplaques, Tumor;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.62;Pleural Effusion;Pleuraergüsse;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.63;Pneumothorax;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.71;Pericardial Effusion;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.72;Enlarged LN mediastinal;nur Lymphknoten KAD > 10 mm;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.73;Enlarged LN hilar right;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.73;Right enlarged LN hilar;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.74;Enlarged LN hilar left;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.74;Left enlarged LN hilar;;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.81;Material intrapleural;Fremdmaterial innerhalb der Grenzen der Pleura parietalis;;;
RACOON;1.3.6.1.4.1.41130.1.644.9.82;Material extrapleural;;;;
